"","Common name","Image","Origin","First developed","Comment","Use"
"951","Sack and Sugar[7]","","","A yellow apple. Stalk very short. Flesh tender, juicy, aromatic, good. Pick September.","Cooking, Eating",NA
"952","Saint Cecila[50]","","Wales","1900","Even oval, golden yellow with crimson flush and stripes. H 60, W 73. FCC from RHS in 1919. Pick early October. Use December - March.","Eating"
"953","Saint Clair[5]","","Illinois, US","Introduced 1947","Resembles of Wealthy. Tree strong, productive.","Eating"
"954","Saint Edmund's Pippin[7]agm[352][21]","","Bury, St. Edmunds Suffolk, England","1870s","W 63, H 52. Stalk 12 – 22 mm. Unusual in fact that it has scaly russet patches mixed with smooth. Raised by Mr. Harvey. One of the best early russets. Flesh yellow, very juicy, vanilla/pear taste. Usually a light yellow-green. Pick mid September. Use September - October.","Eating"
"955","Saint Everard[7][50][353]","","Papwoth Everard, near Cambridge, Cambridgeshire, England","1900, introduced 1910","Yellow striped with crimson. H 45, W 57. FCC from RHS in 1919. Flesh crisp, yellow, juicy, excellent. Pick early September. Use September.","Eating"
"956","Saint Lawrence[28]","","?","<1831","Flesh tender, juicy, subacid. Use September - October.","Eating"
"957","Saint Martins[7]","","England","<1896","Brownish red with russet. A very sweet apple. AM from RHS in 1896. P Bess Pool x Cox Orange. Use - February","Eating"
"958","Salome[354][355]","","Illinois, US","ca 1853","Yellow with red flush, round oblate.W 74, H 64. Stalk 16 mm. Tree vigorous, large. Flesh yellow firm, crisp, tender, juicy, subacid, good to very good. Use November - March.","Eating"
"959","Saltcote Pippin[50][8][356]","","England","<1918","Good flavour reminding one of Mother. Award of Merit from RHS in 1928. W 74, H 61. Stalk short or medium. Flesh, juicy, sweet, aromatic. Pick early October. Use November - January.","Eating"
"960","Samo[31]","","Finland","Introduced 1981","A greenish-yellow apple. P Melba x Huvitus. Flesh sweet, subacid. Pick September.","Eating"
"961","Sandow","Sandow","Ontario, Canada","1935","Fruity (raspberry,cherry flavours), tart, sweet, recommended for eating, cooking, and cider. Sandow is one of Canada's best kept secret apples. A few orchards exist in New Brunswick, Canada, where the trees can also be purchased. Stores well for four to five months in refrigeration.","Eating, Cooking, Cider."
"962","Sandra[31]","","Finland","Introduced 1996","A red Apple. P Lobo x Huvitus. Flesh sweet, subacid. Pick mid September.","Eating"
"963","Sandringham[7]","","Norfolk, England","introduced 1884","A yellow apple. FCC from RHS in 1883. P Woodford x King of the Pippins. Flesh yellowish, firm, soft, subacid.","Cooking"
"964","Sanspareil[50][7]","","England","<1899","Medium to large , even round apple. Yellow red stripes. First Class Certificate from RHS in 1899. Use: February - May.","Cooking, Eating"
"965","Santana[357]","","Wageningen, Netherlands","1978","Scab resistant.","Eating."
"966","Särsö (syn. Mignon, Cloetta)[14][97]","","Sweden","<1917","W 73, H 60. Stalk 25 mm. Flesh subacid, fair to good. Pick late September, Use October - November.","Eating, Cooking, Jam"
"967","Saturn","","Kent, England","1980","Scab resistant.","Eating."
"968","Scarlet Cranberry[28]","","Virginia, US","<1865","Flesh crisp, juicy, astringent, subacid, fair to good.","Eating"
"969","Scarlet Nonpareil[6][7]","","Surrey, England","1773","A very excellent dessert apple of first-rate quality. AM from RHS in 1901. Flesh pale yellow, sweet, firm, good. Use: January to March. H 52, W 57.","Eating"
"970","Scarlet Pearmain[6][7][358]","","Middlesex, England","c1800","A dessert apple of first rate quality. The tree is a free and vigorous grower. Flesh yellow, tender. H 54, W 60. Use: October–January.","Eating"
"971","Scarlet Pippin[28]","","Ontario","<1895","Stalk short. Flesh white, juicy, subacid. Use September - October.","Eating"
"972","Scarlet Staymared[5]","","Washington, US","Introduced 1936","A red apple.","Cooking"
"973","Scarlet Tiffing[92]","","England","<1875","A valuable and excellent culinary apple. W 76 HH 57. Stalk 12 mm. Use November - December.","Cooking"
"974","Schoolmaster[92][7]","","Lincolnshire,England","1855, introduced 1882","A fine cooking apple. FCC from RHS in 1880. W 76, H 70. Stalk very short. P Golden Noble x Dumelow. Flesh white, crisp, acid. Pick October. Use November - January.","Cooking"
"975","Scweizer Orange[18]","","Switzerland","Raised 1935, Introduced 1954","A green-yellow apple with red orange flush. W 67, H 50, We 105.","Eating, Cooking"
"976","Scrumptious agm[359]","","Kent, England","2003","Sweet and crisp. Self-fertile, mid-season variety that ripens in early September and will store well for about a month. The blossom is frost hardy resulting in heavy crops and the tree can be grown in all areas of the UK. The flesh is crisp and aromatic and the thin skin turns deep red as it develops","Eating"
"977","Secor[5]","","Iowa, US","Introduced 1922","P Salome x Jonathan. Free from Jonathan spot in storage. Use January - April.","Eating"
"978","SeeandO Red Rome 262[5]","","Washington, US","Introduced 1943","Mutation of Rome Beauty.","Eating"
"979","Seneca Favorite[28]","","US","<1853","Stalk long to medium. Flesh crisp, tender juicy, subacid, very good. Pick September. Use September - December.","Eating, Cooking."
"980","September Beauty[53][7]","","Bedfordshire, England","1885","H 57, W 70. FCC from RHS in 1885. A yellowish-green apple, striped with orange. Flesh yellow, tender. Skin slightly russetted. Pick mid September. Use September - November.","Eating"
"981","Shackleford[28]","","Missouri, US","<1883","W 83, H 69. Stalk 16 mm. Flesh firm, crisp, tender, juicy, subacid, fair to good. Use November - April.","Eating"
"982","Sharp[28]","","Illinois, US","<1889","W 65, H 48. Stalk 10 mm. Flesh tender, crisp juicy, sweet, very good. Use October - November.","Eating"
"983","Sharon[5]","","Iowa, US","Introduced 1922","A red striped fruit. P McIntosh x Longfield. Tree vigorous, productive, hardy.","Eating"
"984","Shinano Sweet","","Nagano, Japan","1978","mid-season crops. Tsugaru x Fuji","Eating"
"985","Shiawasse(syn. Shiawasse Beauty)[4][360]","","Mich. US","Introduced 1862","W 81, H 54. Stalk 10 mm. Flesh white, subacid, aromatic. Use October - January.","Eating"
"986","Shockley[3]","","Jackson County, Georgia, United States","1852","W 64, H 59. Stalk 22 mm. Yellowish and green skin with reddish stripes. Flesh crisp, juicy, sweet taste with vinous flavour. Use April - May.","Eating, preserves"
"987","Shoesmith[8]","","Surrey, England","<1930","P Lane´s Prince Albert x Golden Noble. W 93, H 76. Stalk medium to long. Flesh white, soft, juicy, subacid. Pick late September. Use September - December.","Cooking"
"988","Shotwell Delicious[5]","","Washington, US","1928","Mutation of Delicious","Eating"
"989","Siely´s Mignonne[92]","","England","c1800","Yellow covered with russet. H 45, W 45. Stalk 13 mm. Flesh greenish yellow. Juice highly aromatic and of most excellent flavour. Use November - February.","Eating, Juice"
"990","Signe Tillisch[18]","","Denmark","1866","W 70-90, H 55-80, We 95-200. Alexander x London Pippin.","Eating, Cooking."
"991","Sirius","","Czech Republic","2007","Flesh yellow, firm, crisp, fine
grained, very juicy, well balanced sugar and acid level, rich flavour","Eating"
"992","Sir John Thornycroft[50]","","United Kingdom","<1911","Above medium size, shing yellow with pinkish red flush on sunny side. AGM from RHS in 1911. Use October - March.","Eating"
"993","Sir William Gibbon´s[92]","","England","<1880","A calville-shaped excellent culinary apple. H 76 W 96. Stalk very short. Use November - January.","Cooking"
"994","Sitchamton Russet[92]","","England","<1876","A dessert apple of good quality. Skin covered with grey russet. H 51, W 60. Stalk short and stout. Flesh yellowish, juicy, aromatic flavour. Use December - February.","Eating"
"995","Sköldinge[14]","","Sweden","c1800","W 65, H 61. Stalk 15 mm. Flesh juicy, sweet, subacid, good. Pick early October. Use November - January.","Eating"
"996","Slack-Ma-Girdle","","Devonshire, England","<1880","Yellow streaked with red. H 47, W 62. Stalk very short. Pick mid October. Use October - December.","Cider"
"997","Slastica[11]","","Croatia","","Yellow with red flush. W 50-60, H 40-60, We 70-100. Short stalk. Flesh yellowish to white, firm, juicy, sweet. Disease resistant. Biennial. Pick mid-October.","Eating, Cooking, Cider, Drying"
"998","Slatka šarenika(syn. Šarenika)[11]","","Montenegro","","Green with red flush. W 71, H 59. We 149. Stalk medium. Flesh juicy, sweet, aromatic. Pick mid October. Use November - May.","Eating, Cooking"
"999","Slatka srcika(syn. Srcika)[11]","","Croatia","A yellow apple with red flush. W 65 - 75. H 50-60. We 100-150. Stalk short. Flesh juicy, sweet, subacid. Pick mid October.","Eating, Cooking, Cider, Drying.",NA
"1000","Sleeping Beauty[6]","","Lincolnshire, England","1851","Medium sized. A most excellent apple for all culinary purposes, and particularly for sauce. Use November - February.","Cooking"
"1001","Slor[10]","","Israel","Introduced 1982","Large conic, dark red stripes. Flesh sweet, subacid.","Eating"
"1002","Small´s Admirable[7][6]","","Lincolnshire or Buckinghamshire, England","c1850","An excellent kitchen and dessert apple. Flesh white, firm, crisp, juicy, subacid. Use November - December.","Cooking, Eating"
"1003","Smith´s(syn. Smith´s cider)[4][3][28]","","Pennsylvania, US","<1825","W 70-83, H 60-76. Stalk 10–20 mm. Tree very vigorous. Flesh white, tender, juicy, crisp, subacid, good. Use December - March","Cooking, Cider"
"1004","Smokehouse[3][361]","","Mill Creek, Pennsylvania, US","1837","W 82-88, H 64-68. Stalk 19-23 mm. Greenish-yellow with flushed red-orange stripes. The yellowish-white flesh is crisp and tender with a spicy-sweet flavour that tastes like cider. Excellent all-purpose apple. Unusual in that it also makes excellent cider. Seedling discovered growing next to the smokehouse on William Gibbons' farm in Mill Creek, PA. Bears fruit from young age. Use September - February.","Eating, Cooking, Cider."
"1005","Snow apple (Fameuse)","","Quebec, Canada","17th century","Tender, aromatic, distinct flavour. A parent of McIntosh.","Cider, cooking, eating"
"1006","Snövit[14]","","Sweden","1936","Yellow with red flush. W 64, H 56. P Stenbock x Pfirsichroter Sommerapfel. Pick September. Use September.","Eating"
"1007","Södermanlands kalvill[97][362][14]","","Sweden","<1850","W 70-100, H 61-86. Stalk 17–18 mm. Flesh juicy, aromatic, good. Use October - December.","Eating"
"1008","Södermanlands äpple[97][362][14]","","Sweden","<1800","W 65-83, H 65-79. Stalk 19–28 mm. Flesh juicy, subacid, good. Use September - December.","Eating"
"1009","Somerset[28]","","US","<1869","Tree is an early bearer. Flesh white, juicy, aromatic, very good. Use September - October.","Eating"
"1010","Sonya","","New Zealand","2000","Cross between a Red Delicious and Gala. Coppery coloration. Crisp.","Eating"
"1011","Sops-in-Wine(syn. Sops of Wine)[7][6][4][363][364]","","Cornwall or Devonshire, England","<1688","W 71-89, H 60-73. Stalk 20 mm. Red flesh, juicy, and pleasantly flavoured. Tree is vigorous, very hardy, an excellent bearer and not subject to canker. Use August - September.","Cooking, Cider"
"1012","Sowman´s Seedling[365]","","Lancashire, England","<1928","A large green apple. P Grenadier x Bismark. Very susceptible to Bitter Pit.","Cooking"
"1013","Sparreholm[14]","","Sweden","1868","W 77 H 77. Stalk 10mm. Pick September. Use September.","Eating"
"1014","Spartan[21]","","British Columbia, Canada","Raised 1926, Introduced 1936","Round-conical, yellow, 75-100% flushed crimson. Strong aroma. Prone to canker. W 64, H 58. Stalk 15–20 mm. Good all-purpose, medium-sized apple. Has a bright red blush and may have background patches of greens and yellows. Popular across border in United States as well. Pick early October. Use November - February.","Cooking, Eating, Cider"
"1015","Splendour/Splendor","","New Zealand","1948","Descendant of Red Dougherty x Golden Delicious, ancestor of Pacific Rose and Aurora Golden Gala","Eating"
"1016","Stanard(syn. Stannard)[4]","","New York, US","<1850","W 88, H 72. Stalk 14 mm. Flesh yellow, tender, acid to subacid. Use November - February.","Eating"
"1017","Stäringe Karin[97]","","Sweden","<1902","W 77, H 67. Stalk 15 mm. A green apple with red flush. Flesh, juicy, subacid, good. Pick late September.","Eating"
"1018","Star of Devon[7][8]","","Devonshire, England","1905","Oblong shaped yellow apple with red stripes. AM from RHS in 1905. Flesh white, soft, poor. H 48, W 64. Pick early October. Use October - April.","Eating"
"1019","Stark[366][367]","","Ohio ? US","<1867","W 92, H84. Stalk 20 mm. Tree vigorous, hardy, healthy. Flesh yellow, firm, fine, tender, juicy, mild subacid, fair to good. Use November - April","Eating, Cooking"
"1020","Stark Earliest[5][21]","","Idaho, US","1938. Introduced 1944.","W 57-60, H 45-60. Stalk 18 mm. Does nicely in fruit salads. Red striping on light background. Pick early August. Use August - September.","Eating"
"1021","Starkey[28]","","Me. US","<1875","Stalk medium. Flesh white, juicy, crisp, subacid, very good. Use October - January.","Eating"
"1022","Starr[3]","","New Jersey, US","<1870","Flesh whitish, subacid. Good. Stalk slender. Use July - September.","Cooking"
"1023","Starking[5]","","New Jersey","1921. Introduced 1924","A red mutation of Delicious.","Eating"
"1024","Stayman[368][369]","","US","1866","Dullish red skin often covered with a light russet. H 76, W 78. Tart, wine-like flavour. Flesh yellow, firm, coarse, tender, juicy, mild subacid, aromatic, good to very good. Stores well. Particularly known for tangy cider. Use January - May.","Cider, Cooking, Eating"
"1025","Staymanred[5]","","Virginia, US","Discovered 1926. Introduced 1929","A red apple. Mutation of Stayman Winesap.",""
"1026","Stenkyrke[14]","","Sweden","c1750","A yellow conical apple. W 75, H60. Flesh, juicy, subacid, very good. Use November - January.","Eating"
"1027","Stirling[5]","","British Columbia, Canada.","Introduced 1936","P Yellow Newtown x unknown. Flesh crisp, juicy. Short storage life.","Eating"
"1028","Stirling Castle[7][6][21]","","Stirlingshire, Scotland","c.1830","W 67-76, H 57-60. Stalk 18 mm. Medium size, round, flattish, even apple. Green soft flesh. Pick mid September. Use Sept. - December.","Cooking"
"1029","Stoke Edith Pippin[6]","","Herefordshire, England","1872","An excellent dessert apple. Flesh yellow firm, crisp, brisk and juicy, sweet, and with a perfumed flavour. H 50, W50. Use November - February.","Eating"
"1030","Stolovaca[11]","","Serbia","<1900","A green apple. W 65-75, H 45-55. We 155-185. Stalk short. Flesh white, subacid. Pick late September - early October.","Eating, Cooking"
"1031","Stonetosh[50]","","Canada","Introduced 1922","P Stone x McIntosh. Flesh soft, juicy, sweet, white. Triploid. Pick early October. Use October- February.","Eating"
"1032","Streifling Herbst","","Netherlands or Western Europe","","Sour sweet. Popular in Eastern Europe","Eating, juice, jam, compote, dried"
"1033","Striped Beefing[6][34]","","Norfolk, England","1794","One of the best culinary apples, for baking it is unrivalled. H72, W88. Stalk 10mm. Use November - February.","Baking"
"1034","Strode´s Birmingham(syn. Strode´s)[3]","","Pa. US","<1875","A small yellow apple. Flesh yellow, juicy, subacid. Use September.","Eating"
"1035","Sturmer Pippin[370][6][8][21]","","Sturmer,Haverhill, Suffolk, England","<1831","A bright greenish-yellow apple with a reddish-brown blush, often on one face only. W 69, H 62. Stak 12–25 mm. Flesh white, crisp, juicy, subacid, aromatic. One of the best English keeping apples, with proper storage Sturmer Pippin lasts 4 to 5 months. Flavour is sprightly, more sharp than sweet when first picked, but improves dramatically in storage, becoming sweeter and richer, while maintaining its crisp texture. This keeping ability made it ideal for long journeys, as such, it was brought to Australia where it is still widely grown. Parent of Granny Smith. Pick mid October. Use January - April.","Eating"
"1036","Suislepper[13]","","Estonia","<1870","Flesh soft and aromatic. W 70, H 70. Pick September. Use September.","Eating"
"1037","Šumatovka(syn. Popadija)[11]","","Serbia","<1900","A yellow apple with red flush. W 67, H 57. We 117. Stalk 23 mm. Flesh white, firm, crisp, sweet, subacid. Tree extremely vigorous. Pick October. Use November - January.","Eating, Cooking"
"1038","Summer Bellflower[28]","","New York, US","<1848","Flesh tender, subacid, good. P Esopus Spitzenburg x unknown.","Eating"
"1039","Summerfree","","Italy","1998","Resistant to scab. Spreading habit with moderate vigour, fruit is large, average weight of 175 g, skin is smooth, ripens 1–2 days before Gala, good storage ability.","Eating"
"1040","Summer Golden Pippin[6]","","England","<1800","A small apple, ripe in the end of August. Richer flavour than Yellow Ingestrie. H54, W51. The tree is a small grower. It is an early and abundant bearer.","Eating"
"1041","Summer Pearmain American(syn. Early Summer Pearmain)[59][79]","","US","<1817","Greenish yellow with red overcolour. W 75, H 68. Stalk 23 mm. Flesh yellowish, juicy, aromatic, mild, subacid. Use August - September.","Eating"
"1042","Summer Pippin[3]","","US","<1800","Flesh white, tender, juicy, subacid. W 78, H 70. Use August - September.","Cooking"
"1043","Summer Pound Royal(syn. Pound Royale, Orange)[3]","","US","<1800","Flesh white, tender, juicy, subacid. W 85, H 71. Stalk 20mm. Use August - September. Tree is a strong grower.","Eating"
"1044","Summer Queen[4]","","US","<1806","W 68, H 60. Stalk 33 mm. Flesh yellow, acid, spicy, aromatic. Use July - August.","Cooking"
"1045","Summerred[14][8]","","British Columbia, Canada","1964","Red apple. W 67 H 67. P(McIntosh x Golden Delicious) x unknown. Flesh white, soft, juicy. Pick early September, Use September - October.","Eating"
"1046","Summer Rose[4]","","New Jersey","<1806","A small apple. One of the best early apples. Flesh white, juicy, subacid. Use June - August.","Cooking, Eating"
"1047","Summer Spitzenburg[28]","","New York, US","<1872","Flesh, juicy, aromatic, good to very good. Biennial. Pick August. Use August - September.","Eating"
"1048","Sunset agm[371][21]","","England","1918","Easy to grow. W 61, H 51. Stalk 15 – 22 mm. Has very similar flavour to Cox's Orange Pippin. Won't do well in heat. Pick late September. Use October - December.","Eating"
"1049","Suntan[372][21]","","Kent, England","1956","Fruits ripen orange-red, flavour is sharp and intense. W 70, H 54. Stalk 15 – 20 mm. Pick mid October. Use November - January.","Eating"
"1050","Superior[5]","","Michigan, US","Introduced 1930","P Duchess x Wealthy. Use - December.","Eating"
"1051","Surprise[3]","","US ?","?","A small apple. Flesh stained with red. Use November - January.","Eating"
"1052","Sutton Beauty[3]","","Sutton, Massachusetts","c. 1757","Flesh whitish, crisp, tender, juicy, subacid. Use November - February.","Eating"
"1053","Swaar(syn. Hardwick)[3][28][373]","","New York, US","<1800","W 78, H 61. Stalk 19–26 mm. Flesh yellowish, tender, aromatic, spicy, very good to best. Use December - March.","Eating"
"1054","Sweet Bough[59][374]","","US","<1806","One of the finest summer apples, greenish-yellow. Flesh white, juicy, slightly aromatic, good to very good. Use August - September. AC s.","Eating"
"1055","Sweet Delicious[5]","","Geneva, New York, US","Introduced 1922","P Deacon Jones x Delicious.","Eating, Baking"
"1056","Sweet McIntosh[5]","","Geneva, New York, US","Introduced 1922","P Lawver x McIntsosh.","Eating, Baking"
"1057","Sweet Pippin[3]","","US","<1830","Stalk short. Flesh juicy, sweet. Tree productive. Use November - December","Eating"
"1058","Sweet Pippin syn. of Moore Sweet",NA,NA,NA,NA,NA
"1059","Sweet Pippin syn. of Hog Island Sweet",NA,NA,NA,NA,NA
"1060","Sweet Romanite[4]","","US","<1850","W 74, H 61. Stalk 15 mm. Flesh yellow, juicy, very sweet. Use December - April.","Baking, Cider, Eating"
"1061","Sweet Russet[4]","","US","<1850","W 74, H 62. Stalk 11 mm. Flesh yellow, tender, juicy, sweet. Use August.","Baking"
"1062","Sweet Russet syn. of Pumpkin Russet",NA,NA,NA,NA,NA
"1063","Sweet Russet syn. of Cheeseboro",NA,NA,NA,NA,NA
"1064","Sweet Sixteen","","Minnesota, US","1973","Large fruit, some russeting near top. Moderately acidic taste.","Eating"
"1065","SweeTango","","Minnesota, US","2009","Juicy and sweet, and viewed as a successor to the Honeycrisp by many growers.","Eating"
"1066","Switzer[28]","","Russia","<1870","Flesh white, juicy, subacid, good. Biennial. Pick August. Use September - October.","Cooking, Eating"
"1067","Syke House Russet[7]","","Yorkshire, England[6]","1780","One of the most excellent dessert apples. The tree is a free grower and an excellent bearer. Use: October–February","Eating"
"1068","Talman´s Sweet see Tolman Sweet",NA,NA,NA,NA,NA
"1069","Talvikaneli see Vinterkanel",NA,NA,NA,NA,NA
"1070","Talvikki[31]","","Finland","2003","A large green apple with red flush. P Lobo x Yläkautto. Pick mid October.","Cooking (Eating)"
"1071","Tamplin[7]","","?","<1900","Crimson red with dark broken stripes. AM from RHS in 1902. Flesh yellowish, poor.","Eating"
"1072","Teser","","United States","1944","Resistant to scab.","Eating"
"1073","Tart Bough(syn. Sour Bough)[3]","","US","<1830","Flesh white, tender, juicy, subacid. Use August.",""
"1074","Tart Bough syn. of Early Harvest",NA,NA,NA,NA,NA
"1075","Tart Bough syn. of Champlain",NA,NA,NA,NA,NA
"1076","Telstar[8]","","New Zeeland","1934","P Golden Delicious x Kidds Orange Red. W 69, H 56. Stalk long. Flesh white, crisp, juicy, sweet. Pick mid October. Use November - December.","Eating"
"1077","Tetofski[4][375]","","Russia","<1831","A small apple. Flesh yellowish-white, firm, coarse, tender, aromatic juicy, subacid, fair to good. Use June - July","Cooking"
"1078","Tewkesbury(syn. Tewkesbury Winter Blush)[3]","","N.J. US","<1850","W 60, H 45. Stalk 11 mm. Flesh yellow, subacid. Use January - July.","Eating"
"1079","Thomas Rivers (syn. River´s Codlin)[7][50]","","Hertfordshire, England","<1892","Round, conical, pale yellow with slight brownish flush, flesh crisp, yellowish, acid cooks extremely well. P Mother x Dumelow. First Class Certificate from RHS in 1892. H 64, W64.","Cooking"
"1080","Thompson[28]","","Iowa, US","<1892","Flesh white, crisp, tender, juicy, subacid, fair to good. Stalk medium. Use October - December.","Eating"
"1081","Thorle Pippin see Whorle Pippin",NA,NA,NA,NA,NA
"1082","Tiganka(syn. Tiganka Alaia)[11]","","Moldova","<1900","A red apple. W 73-82. H 70-75. We 80-115. Stalk short. Flesh juicy, subacid. Pick mid September. Use October - November.","Cooking (Eating)"
"1083","Tiganka Grie[11]","","Moldova","<1900","A green apple with red flush. W 70-85, H 70-85, We 85-125. Stalk medium to long. Flesh juicy, subacid.","Cooking (Eating)"
"1084","Tinmoth[28]","","Vermont, US",">1857","Flesh tender, juicy, subacid, peculiar flavor, good. Tree very productive. Use October - December.","Eating"
"1085","Titovka(syn. Titus Apple)[28][376]","","Russia","<1870","Flesh white, juicy, subacid, good to very good. Tree vigorous. Use August - September.","Cooking"
"1086","Titus Pippin[3]","","Long Island, US","<1870","Flesh whitish yellow, juicy, tender, subacid.Good. Tree productive. Use December - February.","Eating"
"1087","Tobias[31]","","Finland","Introduced 2003","A red conical apple. P Lobo x Huvitus. Pick early October.","Cooking, Eating"
"1088","Tolman Sweet(syn. Talman´s Sweet)[377][378][379]","","US","1822","Very sweet apple. W 79, H 67. Stalk 27 mm. Once used to make dried fruit for winter. Flesh white, firm, dry, sweet, good to very good. Use October - March.","Cider, Cooking"
"1089","Tom Putt[21]","","Trent, Dorset, England","<1800","Small to medium, flat and irregularly shaped apple. Green, usually covered entirely with a bright red blush. H 55-63, W 65-78. Crisp, sharp flavour. An excellent cooker and ideal single-variety cider apple. Softens during storage. Tree is vigorous and precocious. Scab-resistant. Seedling found by a Rev. Tom Putt of Trent, Somerset, England in the late 1700s. Triploid. Pick early September. Use September - November.","Cider, Cooking"
"1090","Tompkins King (or King)[380]","","United States","1804?","This apple is gigantic, and of excellent quality both as a dessert fruit and for cooking. The fruit shape is uniform and the skin mostly red with some yellow stripes. The flesh is yellowish and crisp. The fruit does not keep as well as some other apple cultivars.","Eating"
"1091","Topaz","","Czechoslovakia","1990","Rubin × Vanda, scab-resistant, sharp flavour.","Cider, Cooking, Eating"
"1092","Tower of Glammis[6][21]","","Angus, Scotland.","<1800","A first rate culinary apple, once very popular in Lanarkshire. Greenish in colour with some russeting near stalk normal.[381] W 73, H 70. Stalk 12 – 15 mm. Triploid. Pick late October. Use November–February.","Cooking."
"1093","Townsend[3]","","Pa. US","<1785","Stalk long. Flesh white, tender, subacid, good to very good. Tree healthy, vigorous. Good to very good. Pick late August.","Eating"
"1094","Traders Fancy[4]","","Pennsylvania, US","<1840","Flesh white, crisp, tender, juicy, subacid, good to very good. Tree vigorous. Use January - May.","Cooking"
"1095","Trajan[50]","","Kent, England","Introduced 1989","P Wijcik McIntosh x Golden Delicious. Dark red. Flesh crisp, juicy, sweet. Pick September. Use September - October.","Eating"
"1096","Trenton Early[4][3]","","New Jersey, USA","Introduced 1852","Flesh white, tender, juicy, subacid. Tree moderately vigorous, quite productive. Use August - September.","Cooking, Eating"
"1097","Trogsta[14][19]","","Sweden","<1900","W 59-71, H 50-59. Stalk 9 mm. Flesh juicy, good. Pick September.","Eating"
"1098","Tropical Beauty[10]","","South Africa","c1930","P unknown. Flesh soft, poor.","Eating"
"1099","Tropic Sweet[10]","","Florida","Introduced 1996","P polycross from Jerseymac x Anna selections. W 70. One of a handful of apple varieties that will grow in Florida; will not do well in cold weather at all.","Eating"
"1100","Trumbull Sweet(syn. Fenton Sweet)[4]","","Ohio, US","<1850","Flesh white, juicy, sweet. Tree vigorous, productive, early bearer. Use September - October","Baking"
"1101","Tsáriskij schip[31]","","Estonia","<1880","Medium size conical. Yellow with red stripes. Pick September. Use September.","Cooking, Eating"
"1102","Tsugaru","","Aomori, Japan","1930","Golden Delicious × Jonathan","Eating"
"1103","Tufts[28]","","Wisconsin, US","1855","Flesh crisp, mild subacid, fair to good. Stalk long. Use October - December.","Eating"
"1104","Tumanga (syn. Auralia)[144][18]","","Germany","1930","A green apple with red flush. W 66-80, H 52, We 110-195. Pick early October. Use November - February.","Eating"
"1105","Turley[5]","","Indiana, US","Introduced 1922.","P Winesap x unknown. Tree bears annually, very productive.","Cooking"
"1106","Twenty Ounce[382][59][383][384]","","New York","<1844","Huge: apple weighs over one pound, or nearly 500 g. Green overlaid with broad red striping. Stalk short, thick. Flesh whitish - yellow, tender, juicy, subacid, good. Excellent cooker. Nice juice qualities. Use September - October.","Cider, Cooking, Eating"
"1107","Tydeman's Early Worcester[8][21]","","England","Raised 1929 Introduced 1945","Mclntosh × Worcester Pearmain. Crimson over yellow background colour. Flesh white, juicy, sweet with strong aroma. H 54-60, W 60-67. Stalk 17–20 mm. Pick mid August. Use August - September.","Eating"
"1108","Tydeman's Late Orange[8][21]","","England","Raised 1930 Introduced 1949","Good storage qualities, but loses fragrance with age. H 55, W 58. Stalk 15–25 mm. Pick mid October. Use December - April. Sometimes cultivated in California; one of a handful of British apples that will thrive in the state.","Eating"
"1109","Tyler´s Kernel[7]","","Herefordshire, England","<1883","A pale yellow apple. W 64, H 76. FCC from RHS in 1883. Rather subject to canker.","Cooking"
"1110","Undine[18]","","Germany","1961","A large apple (180-230 gram). Green with some orange overcolour. Jonathan x unknown.","Eating"
"1111","Utter[28]","","Wisconsin, US","1855","Flesh, crisp, tender, juicy, subacid, good. Tree regular grower, healthy, productive. Use October - December.","Eating"
"1112","Uttwiler Spätlauber","","Switzerland","1750","","Eating"
"1113","Valinhense[10]","","Brazil","","P unknown. Very firm tart apple.","Cooking"
"1114","Valmore[5]","","California, US","Introduced 1934","P unknown.","Cooking"
"1115","Vance Delicious[5]","","Virginia, US","Discovered 1930. Introduced 1935.","Mutation of Delicious.","Eating"
"1116","Vanderspiegel[3]","","Bennington, Vt. US","<1875","Flesh yellow, crisp, juicy, subacid. Tree productive. Use December -February.","Eating"
"1117","Vandervere(syn. Large Vandervere, Vandervere Pippin, Yellow Vandervere)[4]","","US","<1806","Flesh yellow, firm, juicy, acid. Tree vigorous, productive, bearing annually. Use December.","Cooking"
"1118","Venus Pippin[7]","","Devonshire, England","ca 1800","A pale yellow-green apple. AM from RHS in 1899. Flesh, tender, pale yellow, juicy. Use September - October.","Cooking, Eating"
"1119","Verorja[11]","","Albania","?","A greenish yellow apple with red stripes. W 50-60, H 50-60. We 100-120. Flesh crisp, juicy, subacid. Pick late July - Early August.","Eating"
"1120","Vicking[50]","","S. Daktota, US","Introduced 1925","Flesh brisk, soft, juicy. Pick late August. Use August - September.","Eating"
"1121","Victoria Sweet[385]","","New York ? US","ca 1840","A red apple. Tree vigorous. Flesh yellow, firm, tender, juicy, sweet, good to very good. Use October - January.","Eating, Cooking, Baking"
"1122","Victory[5]","","Minnesota, US","Introduced 1943","Flesh white, juicy, aromatic. Use October 15 - March 15.","Eating"
"1123","Vidovdanka[11]","","Serbia","<1900","A green apple with red flush covering 85%. W 62, H 62-74. We 130. Flesh juicy, acid. Pick august.","Eating"
"1124","Vinterkanel(syn. Talvikaneli)[31]","","Finland","Introduced 2003","A red apple. P Lobo x Rödkanel. Pick early October.","Cooking, Eating"
"1125","Violette[6]","","France","1628","A culinary apple of second rate quality. Use: October - March.","Cooking"
